ÓÒ¹ÉÖ±¼¡	ÓÒ¹É¶þÍ·¼¡	×óëÖÇ°¼¡	ÓÒëÖÇ°¼¡	×óëè³¦¼¡	×ó¹ÉÖ±¼¡	×ó¹É¶þ	ÓÒëè³¦¼¡	
-32.1	-14.8	-37.0	-41.9	-34.5	-39.4	-49.3	-24.7	
-37.0	-9.9	-44.4	-34.5	-34.5	-39.4	-46.8	-9.9	
-19.8	-12.4	-46.8	-12.4	-2.5	-34.5	-64.0	-19.8	
-12.4	-7.5	-51.7	-19.8	-2.5	-39.4	-49.3	51.6	
-19.8	-19.8	-54.2	-17.3	-2.5	-37.0	-41.9	88.5	
-9.9	-24.7	-29.6	-12.4	-14.8	-34.5	-29.6	-19.8	
-14.8	-14.8	-19.8	-19.8	-27.1	-32.1	-24.7	-46.8	
-7.5	-12.4	4.8	-49.3	-14.8	-24.7	7.3	4.8	
-7.5	-22.2	29.4	-34.5	14.7	-5.0	14.7	2.4	
-0.1	-14.8	2.4	-22.2	29.4	-12.4	12.2	-66.5	
2.4	-24.7	-44.4	-7.5	4.8	-5.0	19.6	-27.1	
-9.9	-29.6	-41.9	-7.5	4.8	7.3	34.4	-51.7	
-17.3	-24.7	-12.4	-12.4	-2.5	7.3	29.4	-22.2	
-27.1	-24.7	34.4	-24.7	19.6	14.7	14.7	12.2	
-22.2	-19.8	34.4	-27.1	22.1	17.1	14.7	27.0	
-32.1	-12.4	17.1	-29.6	17.1	14.7	14.7	-7.5	
-24.7	-29.6	9.8	-29.6	2.4	7.3	-17.3	-27.1	
-19.8	-17.3	-14.8	-39.4	-19.8	-5.0	-27.1	-32.1	
-27.1	-2.5	-41.9	-34.5	-32.1	-17.3	-29.6	-44.4	
-24.7	-7.5	-44.4	-27.1	-34.5	-29.6	-37.0	-7.5	
-41.9	-5.0	-61.6	-29.6	-41.9	-27.1	-32.1	24.5	
-22.2	-5.0	-64.0	-39.4	-29.6	-37.0	-51.7	-24.7	
-29.6	-2.5	-54.2	-29.6	-14.8	-41.9	-64.0	-46.8	
-17.3	-0.1	-56.7	-34.5	-22.2	-44.4	-49.3	-64.0	
-17.3	-2.5	-54.2	-27.1	-19.8	-46.8	-44.4	-24.7	
-22.2	-17.3	-44.4	-27.1	2.4	-24.7	-32.1	24.5	
-5.0	-12.4	-46.8	-37.0	-29.6	-22.2	-7.5	31.9	
-0.1	-24.7	-34.5	-27.1	-5.0	-22.2	2.4	7.3	
7.3	-34.5	7.3	-19.8	29.4	-14.8	14.7	4.8	
2.4	-22.2	31.9	-29.6	7.3	-5.0	29.4	2.4	
4.8	-22.2	12.2	-14.8	4.8	7.3	14.7	2.4	
2.4	-19.8	-7.5	-9.9	27.0	19.6	29.4	4.8	
-0.1	-17.3	19.6	39.3	22.1	22.1	36.8	-2.5	
-7.5	-24.7	41.7	34.4	22.1	19.6	24.5	-2.5	
-14.8	-37.0	24.5	22.1	4.8	29.4	17.1	-2.5	
-29.6	-27.1	29.4	-7.5	2.4	17.1	2.4	-7.5	
-34.5	-24.7	24.5	-64.0	-9.9	22.1	2.4	-0.1	
-32.1	-5.0	-7.5	-91.1	2.4	14.7	-9.9	-5.0	
-37.0	-5.0	-17.3	-69.0	-7.5	4.8	-22.2	-12.4	
-27.1	12.2	-14.8	-39.4	-5.0	-9.9	-27.1	-19.8	
-32.1	7.3	4.8	19.6	-34.5	-19.8	-34.5	-27.1	
-24.7	-9.9	-19.8	36.8	-56.7	-17.3	-49.3	-41.9	
-22.2	-24.7	-41.9	39.3	-49.3	-17.3	-54.2	-32.1	
-12.4	-19.8	-73.9	78.6	-41.9	-24.7	-39.4	-32.1	
-14.8	-46.8	-110.8	34.4	-51.7	-24.7	-39.4	-41.9	
-12.4	-59.1	-78.8	-17.3	-34.5	-27.1	-9.9	-14.8	
-9.9	-22.2	-46.8	-56.7	-46.8	-19.8	-9.9	2.4	
-5.0	-12.4	-32.1	-177.2	-54.2	-14.8	4.8	-24.7	
-2.5	-19.8	4.8	-76.3	-14.8	-5.0	4.8	-37.0	
7.3	-7.5	14.7	-61.6	39.3	9.8	14.7	-19.8	
-0.1	-12.4	17.1	-41.9	41.7	4.8	12.2	-0.1	
2.4	-27.1	36.8	4.8	34.4	19.6	17.1	19.6	
-9.9	-29.6	49.1	66.3	14.7	12.2	36.8	12.2	
-22.2	-32.1	68.8	59.0	24.5	19.6	14.7	19.6	
-27.1	-27.1	59.0	29.4	-5.0	27.0	17.1	7.3	
-27.1	-14.8	36.8	29.4	-7.5	22.1	-5.0	4.8	
-37.0	-2.5	34.4	41.7	19.6	12.2	-9.9	-0.1	
-24.7	2.4	-7.5	-14.8	14.7	-0.1	-17.3	-17.3	
-27.1	12.2	-0.1	-69.0	12.2	-5.0	-19.8	-34.5	
-34.5	-2.5	-12.4	22.1	-17.3	-2.5	-27.1	-27.1	
-41.9	-29.6	-37.0	4.8	-19.8	-17.3	-29.6	-22.2	
-39.4	-37.0	-78.8	-61.6	-37.0	-19.8	-54.2	-17.3	
-22.2	-32.1	-71.4	-120.6	-39.4	-22.2	-44.4	-32.1	
-14.8	-32.1	-56.7	-98.5	-24.7	-29.6	-44.4	-32.1	
-17.3	-29.6	-71.4	-86.2	-46.8	-29.6	-46.8	-24.7	
-9.9	-39.4	-69.0	-49.3	-59.1	-37.0	-24.7	-29.6	
-0.1	-39.4	-37.0	7.3	-61.6	-32.1	-9.9	-46.8	
-7.5	-34.5	-46.8	-0.1	-14.8	-24.7	17.1	-37.0	
-0.1	-41.9	-22.2	-56.7	12.2	-12.4	7.3	-29.6	
2.4	-37.0	-0.1	-81.3	12.2	-5.0	24.5	-9.9	
-2.5	-27.1	29.4	7.3	9.8	4.8	14.7	9.8	
-12.4	-22.2	22.1	29.4	-5.0	2.4	24.5	19.6	
-24.7	-12.4	17.1	22.1	-19.8	14.7	36.8	31.9	
-24.7	-14.8	14.7	93.4	-39.4	12.2	22.1	14.7	
-14.8	-27.1	24.5	39.3	17.1	12.2	4.8	-27.1	
-34.5	-41.9	4.8	-125.5	66.3	4.8	4.8	-49.3	
-34.5	-44.4	2.4	-108.3	4.8	4.8	-2.5	-2.5	
-32.1	-17.3	-2.5	-44.4	83.6	2.4	-17.3	17.1	
-54.2	-2.5	-19.8	-123.1	36.8	2.4	-22.2	14.7	
-46.8	14.7	-51.7	-113.2	-66.5	-9.9	-34.5	7.3	
-34.5	17.1	-41.9	-59.1	-120.6	-14.8	-37.0	-22.2	
-32.1	9.8	-49.3	-17.3	-37.0	-17.3	-41.9	-69.0	
-29.6	-2.5	-64.0	108.2	-9.9	-27.1	-46.8	-49.3	
-29.6	-24.7	-59.1	194.3	-9.9	-19.8	-34.5	-56.7	
-14.8	-24.7	-61.6	260.7	14.7	-34.5	-34.5	-32.1	
-19.8	-37.0	-44.4	236.1	59.0	-17.3	-19.8	-17.3	
-19.8	-32.1	-19.8	-0.1	41.7	-37.0	-17.3	-32.1	
-17.3	-32.1	-27.1	-142.8	22.1	-27.1	-5.0	-24.7	
-17.3	-17.3	-0.1	-236.2	14.7	-19.8	2.4	-14.8	
-2.5	-9.9	14.7	-223.9	9.8	-14.8	27.0	-44.4	
-5.0	-12.4	27.0	-196.9	12.2	2.4	17.1	-39.4	
-7.5	-24.7	31.9	-157.5	22.1	-5.0	29.4	22.1	
-7.5	-34.5	22.1	-96.0	4.8	4.8	22.1	59.0	
-19.8	-44.4	49.1	9.8	14.7	-2.5	14.7	-5.0	
-32.1	-37.0	7.3	51.6	-9.9	7.3	4.8	-9.9	
