ÓÒ¹ÉÖ±¼¡	ÓÒ¹É¶þÍ·¼¡	×óëÖÇ°¼¡	ÓÒëÖÇ°¼¡	×óëè³¦¼¡	×ó¹ÉÖ±¼¡	×ó¹É¶þ	ÓÒëè³¦¼¡	
-22.2	-14.8	-81.3	-29.6	-24.7	-51.7	-32.1	-5.0	
-19.8	-17.3	-86.2	-17.3	-12.4	-39.4	-27.1	-2.5	
-24.7	-22.2	-61.6	-22.2	-7.5	-51.7	-22.2	-0.1	
-2.5	-27.1	-49.3	-17.3	-5.0	-39.4	-29.6	-7.5	
2.4	-19.8	-19.8	-24.7	17.1	-44.4	-5.0	-14.8	
-7.5	-24.7	-17.3	-27.1	12.2	-17.3	2.4	-14.8	
-9.9	-32.1	7.3	-22.2	9.8	-22.2	-0.1	-7.5	
-12.4	-19.8	34.4	-19.8	12.2	-17.3	-0.1	-7.5	
-5.0	-17.3	36.8	-9.9	-5.0	9.8	7.3	-19.8	
-7.5	-17.3	41.7	-12.4	-0.1	-0.1	7.3	-5.0	
-17.3	-19.8	61.4	-37.0	-7.5	12.2	-0.1	-12.4	
-14.8	-22.2	54.0	-12.4	-17.3	4.8	9.8	-19.8	
-24.7	-22.2	36.8	-22.2	-0.1	17.1	4.8	-7.5	
-27.1	-19.8	36.8	-14.8	-2.5	9.8	-0.1	-0.1	
-37.0	-0.1	2.4	-19.8	-2.5	2.4	-7.5	-9.9	
-39.4	-2.5	-32.1	-19.8	4.8	-12.4	-14.8	-12.4	
-37.0	-7.5	-51.7	-24.7	7.3	-34.5	-32.1	-19.8	
-34.5	2.4	-61.6	-19.8	14.7	-27.1	-34.5	-7.5	
-44.4	-29.6	-61.6	-27.1	-12.4	-27.1	-32.1	-12.4	
-32.1	-22.2	-71.4	-24.7	-51.7	-37.0	-39.4	-27.1	
-29.6	-24.7	-76.3	-17.3	-88.6	-41.9	-34.5	-17.3	
-14.8	-29.6	-76.3	2.4	-66.5	-51.7	-32.1	-19.8	
-24.7	-32.1	-71.4	24.5	-34.5	-41.9	-24.7	-17.3	
-17.3	-32.1	-56.7	-19.8	-2.5	-39.4	-22.2	-14.8	
-9.9	-27.1	-44.4	-46.8	12.2	-32.1	-14.8	-17.3	
-0.1	-34.5	-0.1	-32.1	14.7	-22.2	7.3	-19.8	
-7.5	-27.1	29.4	-29.6	29.4	-17.3	7.3	-9.9	
-9.9	-32.1	54.0	-22.2	-0.1	-0.1	12.2	7.3	
-5.0	-17.3	61.4	-19.8	-9.9	-0.1	14.7	-9.9	
-12.4	17.1	29.4	-24.7	-5.0	-0.1	12.2	-0.1	
-14.8	14.7	2.4	-24.7	9.8	7.3	-0.1	-17.3	
-24.7	7.3	19.6	-12.4	-2.5	19.6	7.3	-19.8	
-24.7	-2.5	27.0	-24.7	14.7	9.8	-9.9	-7.5	
-29.6	-22.2	17.1	-19.8	-19.8	17.1	-14.8	-22.2	
-32.1	-41.9	19.6	-29.6	-71.4	2.4	-14.8	-29.6	
-37.0	-83.7	17.1	-22.2	-128.0	-17.3	-19.8	-17.3	
-32.1	-41.9	-24.7	-17.3	-81.3	-17.3	-17.3	-14.8	
-32.1	-19.8	-44.4	-29.6	-2.5	-29.6	-24.7	-24.7	
-32.1	-2.5	-66.5	-5.0	17.1	-32.1	-19.8	-7.5	
-22.2	7.3	-76.3	9.8	22.1	-41.9	-32.1	-14.8	
-22.2	-19.8	-115.7	22.1	34.4	-39.4	-34.5	-24.7	
-17.3	-24.7	-120.6	4.8	34.4	-34.5	-22.2	-27.1	
-17.3	-19.8	-76.3	-96.0	29.4	-44.4	-24.7	-14.8	
-17.3	-19.8	-59.1	-56.7	24.5	-44.4	-17.3	-29.6	
-19.8	-22.2	-37.0	-5.0	22.1	-22.2	-2.5	-17.3	
-14.8	-17.3	-14.8	12.2	22.1	-19.8	7.3	-2.5	
-9.9	-27.1	27.0	-0.1	17.1	-14.8	2.4	-9.9	
-14.8	-14.8	51.6	-24.7	7.3	-0.1	4.8	-19.8	
-22.2	-27.1	44.2	-39.4	-17.3	4.8	7.3	-14.8	
-12.4	-27.1	51.6	-51.7	-66.5	12.2	12.2	-14.8	
-32.1	-17.3	51.6	-41.9	-39.4	9.8	9.8	-9.9	
-34.5	-32.1	44.2	-27.1	12.2	22.1	4.8	-14.8	
-24.7	-22.2	29.4	-29.6	14.7	22.1	4.8	-12.4	
-29.6	-5.0	29.4	-44.4	44.2	12.2	-5.0	-12.4	
-27.1	-17.3	36.8	-34.5	44.2	2.4	-5.0	-17.3	
-22.2	-14.8	31.9	12.2	7.3	-2.5	-17.3	-22.2	
-27.1	-24.7	-2.5	49.1	-34.5	-19.8	-29.6	-14.8	
-22.2	-37.0	-41.9	14.7	-78.8	-17.3	-19.8	-27.1	
-32.1	-32.1	-98.5	-0.1	-0.1	-34.5	-27.1	-7.5	
-24.7	-24.7	-135.4	-0.1	29.4	-32.1	-27.1	-7.5	
-19.8	-27.1	-105.9	-59.1	-34.5	-39.4	-34.5	-5.0	
-12.4	-24.7	-78.8	7.3	-86.2	-51.7	-22.2	-24.7	
-17.3	-24.7	-76.3	34.4	-135.4	-39.4	-14.8	-17.3	
-19.8	-32.1	-69.0	-46.8	-184.6	-41.9	-9.9	-12.4	
-19.8	-32.1	-37.0	-46.8	-167.4	-22.2	2.4	49.1	
-14.8	-24.7	-24.7	-46.8	-46.8	-37.0	-2.5	9.8	
-14.8	-7.5	12.2	-76.3	95.9	-14.8	4.8	-41.9	
-12.4	-22.2	34.4	-51.7	95.9	-9.9	9.8	-44.4	
-7.5	-27.1	39.3	-29.6	41.7	2.4	12.2	-54.2	
-12.4	-32.1	49.1	-27.1	105.7	4.8	-0.1	-51.7	
-22.2	-56.7	76.2	-46.8	147.5	27.0	12.2	-32.1	
-19.8	-64.0	71.3	-34.5	95.9	7.3	-22.2	-27.1	
-37.0	-24.7	36.8	-14.8	66.3	17.1	-17.3	-29.6	
-29.6	2.4	29.4	29.4	34.4	7.3	-32.1	-0.1	
-32.1	-17.3	2.4	51.6	12.2	2.4	-17.3	49.1	
-29.6	-22.2	-27.1	27.0	-44.4	-5.0	-17.3	41.7	
-27.1	19.6	-56.7	-39.4	-19.8	-12.4	-7.5	7.3	
-37.0	-32.1	-54.2	-132.9	-12.4	-22.2	27.0	-34.5	
-37.0	-76.3	-59.1	-44.4	-2.5	-29.6	-5.0	-81.3	
-24.7	-39.4	-64.0	-54.2	-24.7	-37.0	-32.1	-54.2	
-22.2	7.3	-100.9	-24.7	-22.2	-41.9	-17.3	-34.5	
-24.7	-19.8	-93.6	-37.0	-24.7	-49.3	-7.5	-7.5	
-17.3	-56.7	-81.3	-54.2	-22.2	-39.4	-17.3	19.6	
-27.1	-64.0	-61.6	-37.0	-19.8	-46.8	2.4	-29.6	
